ESC signal (µs),Thrust (kgf),Thrust (g),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (g/W)
-1,-1,207.43,16,1.64,21921,108.07,1.92
-1,-1,233.33,16,2.28,23260,132.39,1.76
-1,-1,248.36,16,2.91,24001,151.37,1.64
-1,-1,265.25,16,3.55,24791,167.85,1.58
-1,-1,277.23,16,4.25,25622,189.36,1.46
-1,-1,284.98,16,5.06,26175,208.75,1.37
-1,-1,288.18,16,5.86,26641,229.65,1.25
-1,-1,292.27,16,6.6,27260,249.92,1.17
-1,-1,302.37,16,7.43,27956,271.6,1.11
-1,-1,307.61,16,8.75,28299,292.41,1.05
-1,-1,310.57,16,10.07,28771,316.25,0.98
,,,,11.76,,,
,,,,17.92,,,
