ESC signal (µs),Thrust (kgf),Thrust (g),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (g/W)
-1,-1,207.43,15.93,6.79,21921,108.07,1.92
-1,-1,233.33,15.91,8.32,23260,132.39,1.76
-1,-1,248.36,15.88,9.53,24001,151.37,1.64
-1,-1,265.25,15.85,10.59,24791,167.85,1.58
-1,-1,277.23,15.84,11.96,25622,189.36,1.46
-1,-1,284.98,15.81,13.2,26175,208.75,1.37
-1,-1,288.18,15.78,14.55,26641,229.65,1.25
-1,-1,292.27,15.75,15.87,27260,249.92,1.17
-1,-1,302.37,15.71,17.29,27956,271.6,1.11
-1,-1,307.61,15.68,18.65,28299,292.41,1.05
-1,-1,310.57,15.64,20.23,28771,316.25,0.98
