ESC signal (µs),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message
1050,-0.000273713761292197,0.0138265313580632,15.0412558555603,0.0917979770580167,5730,1.38075197074571,0.16433862921217,12.110198286611,0.0569569017465684,0.0102927395721707,-0.339396530762315,0.0598439171881182,0.486042001284659,0.47578125,0.0508445536541823,0,0.7,1,1,0,0,0,0,
1060,-0.000364753799895282,0.0185457960469648,15.0376564025879,0.167420532671534,7035,2.51760743115028,0.268812906749025,10.7767851863605,0.061030592641373,0.00745378857204357,-0.340743166452739,0.0578777206101222,0.490761265973561,0.33193359375,0.127487548290108,0,0.65,1,1,0,0,0,0,
1070,-0.000573811308912126,0.0263795373030007,15.0330613136292,0.266461605695807,8520,4.00565406295135,0.512175093086515,13.0831265466198,0.0522718729410822,0.00674177602762904,-0.342232058756053,0.0549661152035696,0.498595007229596,0.29716796875,0.215453748694575,0.05,0.8,1,1,0,0,0,0,
1080,-0.000726252145254752,0.0320994877256453,15.0295915126801,0.366404929129207,9651,5.50691513128882,0.734001844613613,13.3670901684697,0.0442617132019693,0.00584400388037487,-0.343719322700053,0.0524414354003966,0.504314957652241,0.22412109375,0.318893896575344,0,0.75,1,1,0,0,0,0,
1090,-0.000908555033300444,0.0402415171265602,15.0228753089905,0.514242150751674,10942,7.72503112389631,1.04134839969012,13.9059680463269,0.0391026155839765,0.00534033262805001,-0.347625580616295,0.0472945393994451,0.512456987053156,0.31015625,0.441535792491783,0.05,0.85,1,1,0,0,0,0,
1100,-0.00110600563715401,0.0487827928736806,15.0168247699738,0.65626272794398,12119,9.85498205225842,1.40352303746713,14.2479533080129,0.0348896927473932,0.00495147772941709,-0.346254731994122,0.0473216641694307,0.520998262800276,0.19443359375,0.586340443945426,0.15,0.65,1,1,0,0,0,0,
1110,-0.00140189501076068,0.0592067954130471,15.0049105644226,0.862040331331813,13360,12.9342980273665,1.96119689491808,15.241467475876,0.0303313469740184,0.00460812527196746,-0.350012211129069,0.0415505492128432,0.531422265339643,0.3443359375,0.758873416946084,0.05,0.85,1,1,0,0,0,0,
1120,-0.00162880261887704,0.0699946540407836,14.997674703598,1.08012932476195,14602,16.199233222869,2.49124647638364,15.4383257928133,0.0282778594908649,0.00433710357334432,-0.353190932946745,0.0368276378139853,0.542210123967379,0.4435546875,0.961100728964114,0,0.85,1,1,0,0,0,0,
1130,-0.00186406691645538,0.0805606046924368,14.9874935150146,1.30836576160582,15697,19.6091235873422,3.06411573812014,15.6274026405165,0.0263369687854466,0.0041085335139666,-0.354754565341864,0.033662945497781,0.552776074619032,0.5119140625,1.19111740442425,0.05,0.8,1,1,0,0,0,0,
1140,-0.00222216108852771,0.0923365587368608,14.9741490364075,1.62357926901969,16797,24.3111490659566,3.90943238192639,16.1532925205651,0.0237401774305672,0.00381765339908485,-0.356627104338258,0.0293534441880183,0.564552028663456,0.45498046875,1.45669932292013,0.05,0.7,1,1,0,0,0,0,
1150,-0.00242823031020481,0.102676334790885,14.9616642951965,1.89571720298918,17763,28.3627209922856,4.51717313425196,15.9728969267422,0.022797635975641,0.0036277946431884,-0.359784948523156,0.0247932232923631,0.574891804717481,0.4689453125,1.73636789845587,0,0.75,1,1,0,0,0,0,
1160,-0.00277908844901341,0.113626613165252,14.9491428852081,2.19587969121131,18661,32.8265300044437,5.43072287110894,16.5441378974691,0.0209379663530777,0.0034616675622743,-0.361344272096176,0.0208461812690075,0.585842083091848,0.3666015625,2.03893048358784,0.1,0.7,1,1,0,0,0,0,
1170,-0.00302104990157626,0.126350962091237,14.9338028430939,2.5606436901966,19631,38.2401421416491,6.21042956919228,16.2407878312014,0.0203640355100577,0.00330419262400217,-0.364098018326331,0.0164457985192712,0.598566432017833,0.33427734375,2.37462893338484,0.15,0.8,1,1,0,0,0,0,
1180,-0.00321445784250354,0.137535971589386,14.9181782722473,2.93754132327231,20458,43.8226180212863,6.88691381109204,15.722150260393,0.019987101523647,0.00313998620159533,-0.366484628466424,0.0127429763324471,0.609751441515982,0.34296875,2.73161716509979,0.05,0.65,1,1,0,0,0,0,
1190,-0.00358229066715429,0.14993901422713,14.9024280548096,3.29944032963904,21319,49.1696894942837,7.99766109549922,16.266030389883,0.0187579149795253,0.00304965653088637,-0.368865983909927,0.00785838346928358,0.622154484153725,0.36826171875,3.09746778156645,0.1,0.55,1,1,0,0,0,0,
1200,-0.00393752513052693,0.160766163025983,14.8845950603485,3.69768767890128,22200,55.0385757148544,9.15396693176593,16.6339420252536,0.0175733945610072,0.00292117743629023,-0.373475544620305,0.000831321813166142,0.632981632952578,0.502734375,3.49589657708293,0,0.8,1,1,0,0,0,0,
1210,-0.00412884287697515,0.173532500048168,14.8641450405121,4.19229672488364,23037,62.3144629748406,9.96038771676917,15.9919555497657,0.0174324545138039,0.00278677979587237,-0.374740573170129,-0.00173569424255504,0.645747969974764,0.5908203125,3.94124868971471,0.1,0.85,1,1,0,0,0,0,
1220,-0.00440233740881897,0.183513484080322,14.8427528858185,4.62290266093406,23745,68.6162779853923,10.9470000807632,15.9589702163057,0.0167677514296119,0.002675200719342,-0.377125765953679,-0.00598211772739887,0.655728954006918,0.9392578125,4.38418512084214,0.1,0.65,1,1,0,0,0,0,
1230,-0.00475096573527468,0.194799486780539,14.8220670223236,5.11474342879447,24511,75.8110596101278,12.194526674153,16.0859577981901,0.0159809598092823,0.00256963958199579,-0.378986238501966,-0.0102151340342971,0.667014956707135,0.53037109375,4.87482194173073,0.05,0.75,1,1,0,0,0,0,
1240,-0.00508708358457421,0.205638547777198,14.7980942249298,5.68079002436789,25232,84.0612489811183,13.4415398730531,16.0258849014908,0.0153060070188562,0.00245246309005822,-0.38162646087585,-0.0151427617765876,0.677854017703794,0.72783203125,5.36718200029512,0.05,0.8,1,1,0,0,0,0,
