ESC signal (µs),Thrust (kgf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),Thrust Load Cell (mV),Burst Current Cutoff (A)
1100,0.014600440096091,16.0504928578255,0.150016631763025,6963,2.40784146450464,0.006067877920915,-0.355179805872383,0.083645130148091
1200,0.048957402827831,16.038536145282,0.722958847104867,12417,11.5952010418271,0.004222304743089,-0.320822843140642,0.495927880772744
1300,0.085709538285744,16.0218312252472,1.6627175902224,16331,26.6397801028824,0.003217375157163,-0.28407070768273,1.24717924001197
1400,0.119616822443461,15.9990912998549,2.92642779116447,19128,46.8201869834032,0.002554845227132,-0.250163423525013,2.31756256431859
1100,0.014958790727405,16.0506776920971,0.152361543703049,6990,2.44550611835138,0.00611888446168,-0.354821455241069,0.379500336416263
1200,0.048797948777583,16.039170312767,0.732285151729612,12405,11.7452456092577,0.004154757194284,-0.320982297190891,0.598547933485141
1300,0.087039054585399,16.0209884657593,1.68521084148019,16272,26.9987440519113,0.003223827302674,-0.282741191383074,1.29081226565064
1400,0.121095869025906,15.9977600466015,2.96914034167559,19073,47.4995946019982,0.00254941437418,-0.248684376942567,2.36225121511316
1100,0.015401389986902,16.0504612935692,0.161710832986563,7029,2.59553315548584,0.00593927440607,-0.354378855981571,0.385492902293607
1200,0.050272411656098,16.0376459523866,0.737219451871863,12411,11.8232644720318,0.004252041501031,-0.319507834312375,0.60585807269695
1300,0.087034320056644,16.020114020525,1.69473074802408,16336,27.1497805665895,0.003205751812411,-0.282745925911829,1.30207558441799
1400,0.120216504153137,15.9971754919421,2.99497884915872,19161,47.9112010654122,0.002509162316858,-0.249563741815336,2.38092691787392
