ESC signal (µs),Thrust (kgf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Thrust Load Cell (mV),Burst Current Cutoff (A)
1100,0.014724009742967,16.0455855092967,0.212393196438876,7297.71428571,3.40797284314382,-0.352400349785749,0.138118759762367
1170,0.038942190355051,16.0374156148224,0.610091356871964,10648.90928571,9.78428901047269,-0.328182169173665,0.444736397733479
1240,0.066395392514768,16.0256375397959,1.20292603590512,13709.39428571,19.2776569755026,-0.300728967013948,0.930825048638198
1310,0.093743994200145,16.0111403922023,1.95987979479665,16479.16928571,31.3799095963414,-0.273380365328571,1.59067515416926
1380,0.118959678532123,15.9937624421031,2.86274193076953,18958.23428571,45.7860134077485,-0.248164680996593,2.40540997719552
1450,0.144269446560736,15.9747720687734,3.9183608192972,21146.58928571,62.5949207240138,-0.22285491296798,3.37266781030653
1520,0.176828858356805,15.9472952760485,5.37147598038097,23044.23428571,85.6605124718373,-0.190295501171911,4.63592099526009
1590,0.217355071957043,15.9152767490717,7.15733123378248,24651.16928571,113.910914759486,-0.149769287571674,6.22756444078015
1660,0.26479426605447,15.8670325824491,9.54394650895713,25967.39428571,151.434086623407,-0.102330093474246,8.33642587212782
1730,0.315741564783534,15.8153077195694,12.1257469485585,26992.90928571,191.772418072681,-0.051382794745183,10.7927484880128
1800,0.375805076018279,15.7560021188962,15.1401617449981,27727.71428571,238.548419043733,0.008680716489563,13.6919318795189
1100,0.015178049402379,16.0430293141966,0.238381809592359,7297.71428571,3.82436668414928,-0.351946310126337,5.21057852276615
1170,0.039500039019267,16.0348438706179,0.648053521722426,10648.90928571,10.3914371692232,-0.32762432050945,2.15867578286946
1240,0.067586261576744,16.0222790325467,1.26965774768202,13709.39428571,20.3428107544951,-0.299538097951972,1.5510796299298
1310,0.095481360850699,16.0057398170547,2.06625250977398,16479.16928571,33.0719000367453,-0.271642998678017,1.87596844963582
1380,0.123091000676293,15.9844159766933,3.04295416302629,18958.23428571,48.6398450769095,-0.244033358852423,2.62415666812012
1450,0.152016038797876,15.9631747796052,4.20720902023612,21146.58928571,67.1604120066874,-0.21510832073084,3.64689527242697
1520,0.184954942091541,15.9329305046143,5.74449457173517,23044.23428571,91.5266360261292,-0.182169417437176,4.9838364120362
1590,0.226935345363272,15.893943175882,7.59662076950053,24651.16928571,120.740259276366,-0.140189014165444,6.6549436505032
1660,0.273147700837643,15.8522439479119,9.89514076391055,25967.39428571,156.860179059704,-0.093976658691074,8.72200777015873
1730,0.316434545519646,15.8051018590799,12.2651499842171,26992.90928571,193.851933429924,-0.050689814009071,11.0546431862317
1800,0.371533066398911,15.7468127635911,15.2132139516915,27727.71428571,239.559606445045,0.004408706870195,13.8507193289924
